Image Pair,MSE,SSIM,Mean MSE,Mean SSIM
5,4.841624761273507e-05,0.9838377593541865,-,-
6,5.5813485214513305e-05,0.9823868175889623,-,-
7,7.234805270809172e-05,0.9789477172803818,-,-
8,8.936437353155936e-05,0.9782774085740873,-,-
9,0.0034955459247864853,0.8050753454312627,-,-
0,0.0038208523266180464,0.7741281608191591,-,-
1,0.0038910810112187024,0.7628701694417063,-,-
2,0.0019709513818052973,0.8216267276744867,-,-
3,0.0015315185444989142,0.8393853631498834,-,-
4,0.0007922082358970613,0.8623305774522567,-,-
5,0.0017881332084710242,0.8581435595343209,-,-
6,0.0019566255638718087,0.8456960901292613,-,-
7,0.0022456792594097125,0.8415889754519196,-,-
8,0.0016524814970473953,0.8645698477609385,-,-
9,0.000775608367576595,0.9007975720026238,-,-
0,0.00117809431942601,0.869084918850962,-,-
1,0.0014694722743424774,0.8639551305926189,-,-
2,0.002606337321611132,0.831232481406912,-,-
3,0.0014426283867520907,0.877955793317272,-,-
4,0.0005675405472326683,0.9194310596936044,-,-
5,0.00040736813650619043,0.934078057211691,-,-
6,0.0014362907437193604,0.9102291134795159,-,-
7,0.0015749737129520877,0.8760053130714317,-,-
8,0.0016704660621804466,0.8520524264061424,-,-
9,0.0008736695975205776,0.8830634963847884,-,-
0,0.00033759934398087607,0.9174930160728897,-,-
1,0.00027463323198582284,0.9328313569319512,-,-
2,0.0002941846851372177,0.9314155971705531,-,-
3,0.00043153057997640025,0.9281133534478287,-,-
4,0.0006494774080346124,0.9168341937572604,-,-
5,0.0004224505863597995,0.9452935107744541,-,-
6,0.0002619430380636587,0.9565129282768333,-,-
7,0.0004163908295175748,0.9368820904822248,-,-
8,0.0005125883055588849,0.9087544921648106,-,-
9,0.0004959615969102446,0.8974655776457091,-,-
0,0.000312863501197127,0.9270077071718116,-,-
1,0.00019058802622607204,0.942287442726902,-,-
2,0.000454366252123586,0.9499899343400955,-,-
3,0.00018963253120846184,0.9488386723412552,-,-
4,0.00016891972919936245,0.953988153023576,-,-
5,0.00016314176580152663,0.9539865521673443,-,-
6,0.00015256262872624942,0.9601280596370262,-,-
7,0.00011495941016721221,0.9658862017382017,-,-
8,0.00018063184509596226,0.9514579378828808,-,-
9,0.00026528252806197423,0.9331736261998238,-,-
0,0.0002663119006311561,0.9386389087156342,-,-
1,0.00031683274364154804,0.9488064720031156,-,-
2,0.0001327503932619434,0.9615981423502862,-,-
3,0.00021632573221843892,0.9481312446810296,-,-
