Image Pair,MSE,SSIM,Time,Mean MSE,Mean SSIM,Mean Time,Mean NegJ
161,5.944739792328335e-05,0.9711267451524964,0.011053085327148438,-,-,-,-
162,6.84804494201832e-05,0.9696045776970197,0.012291908264160156,-,-,-,-
163,6.789023245848955e-05,0.974606222854461,0.011019706726074219,-,-,-,-
164,7.417740578670852e-05,0.9714532561423269,0.010324239730834961,-,-,-,-
165,4.061014219703504e-05,0.9816973398801834,0.012219667434692383,-,-,-,-
166,8.314648874929423e-05,0.9752854362981387,0.010351419448852539,-,-,-,-
167,8.722393030501182e-05,0.9697680426940838,0.010263681411743164,-,-,-,-
168,0.00014508380513869783,0.9615186743906894,0.010280609130859375,-,-,-,-
169,9.139628135986347e-05,0.9737584011268172,0.010249853134155273,-,-,-,-
170,6.797187730846972e-05,0.9786802667392769,0.010313272476196289,-,-,-,-
171,5.0020498623929234e-05,0.9819020225029242,0.010199546813964844,-,-,-,-
172,7.016835290143752e-05,0.9740902394085013,0.009207487106323242,-,-,-,-
173,8.111989181518452e-05,0.9708580605288792,0.011216878890991211,-,-,-,-
174,7.078724744747871e-05,0.9776912465002938,0.010969161987304688,-,-,-,-
175,7.38563708991095e-05,0.9751268098362756,0.011009454727172852,-,-,-,-
176,5.238134337871851e-05,0.9815970690148633,0.010173559188842773,-,-,-,-
177,0.0001315011991168122,0.9839276662610462,0.008374452590942383,-,-,-,-
178,0.00010826091514939413,0.9803205484163318,0.009609460830688477,-,-,-,-
179,0.00011100020722211551,0.9713785821698673,0.011226654052734375,-,-,-,-
180,5.7138388391037926e-05,0.9829556375636751,0.012101888656616211,-,-,-,-
181,6.0442516928202664e-05,0.9866078884958914,0.01112055778503418,-,-,-,-
182,3.335214535900946e-05,0.9886911557568895,0.011000394821166992,-,-,-,-
183,6.981860251131783e-05,0.9812703238075673,0.008315324783325195,-,-,-,-
184,4.960789677186455e-05,0.9802582197426908,0.00843954086303711,-,-,-,-
185,6.779870711316371e-05,0.9828960379305869,0.011115789413452148,-,-,-,-
186,6.423747918893205e-05,0.9840728722474464,0.011015892028808594,-,-,-,-
187,5.249833340264703e-05,0.9871008768103854,0.011007070541381836,-,-,-,-
188,0.0007398346248523772,0.8678124552397127,0.010991334915161133,-,-,-,-
189,0.0011274175831953316,0.8526588853093181,0.008508920669555664,-,-,-,-
190,0.001055414639822547,0.8558624226808499,0.008320808410644531,-,-,-,-
191,0.0010947207760341159,0.8654386194214407,0.00991368293762207,-,-,-,-
192,0.0007754969326722145,0.8693695689454918,0.011593818664550781,-,-,-,-
193,0.0006649920474780609,0.9021048855789192,0.011297464370727539,-,-,-,-
194,0.0004862394992660764,0.8917702677425365,0.01117086410522461,-,-,-,-
195,0.00049323819340577,0.8861240808844844,0.011542320251464844,-,-,-,-
196,0.000572072236740109,0.877831918712644,0.009219169616699219,-,-,-,-
197,0.0004592163888274705,0.8912052744169752,0.009320974349975586,-,-,-,-
198,0.00038256560132064814,0.9077917274207558,0.011167526245117188,-,-,-,-
199,0.0005438102557371687,0.8527627328645705,0.010899543762207031,-,-,-,-
200,0.0005022436673528698,0.8622023844812706,0.011289834976196289,-,-,-,-
201,0.0008630308055849804,0.8268235457287606,0.009523391723632812,-,-,-,-
202,0.0009106706177275918,0.791004220160799,0.008762359619140625,-,-,-,-
203,0.0008760145140001671,0.792492503199165,0.010715246200561523,-,-,-,-
204,0.000531106865494526,0.8489688217877078,0.011421918869018555,-,-,-,-
205,0.0003178128922664868,0.9022912695120413,0.011411428451538086,-,-,-,-
206,0.0003560666070443155,0.900990626871471,0.011877059936523438,-,-,-,-
207,0.000346710270218539,0.8903816164072498,0.009372472763061523,-,-,-,-
208,0.0005022237868667678,0.8746110997798635,0.00856328010559082,-,-,-,-
209,0.000496903046869664,0.8866476381141494,0.010923147201538086,-,-,-,-
210,0.000406378316754283,0.880294404281913,0.011059999465942383,-,-,-,-
211,0.0004926909798413021,0.8639351097372128,0.016034364700317383,-,-,-,-
212,0.0004993333931421458,0.8535132138630906,0.011435985565185547,-,-,-,-
213,0.0004222401991064368,0.8604365094747716,0.008472681045532227,-,-,-,-
214,0.00042094835814907125,0.869320809284634,0.008526325225830078,-,-,-,-
215,0.00034171826346187056,0.8917521254220183,0.011248350143432617,-,-,-,-
216,0.0003327833982523851,0.9098029738239495,0.011118888854980469,-,-,-,-
217,0.00035569920953705395,0.91579099867579,0.011283636093139648,-,-,-,-
218,0.0005041003635859153,0.8817403898046134,0.011205196380615234,-,-,-,-
219,0.0008489594369806892,0.8497849419966901,0.01080179214477539,-,-,-,-
220,0.0007783950530018646,0.8715556030492198,0.00849008560180664,-,-,-,-
221,0.000552496926787856,0.8644852669559268,0.009534120559692383,-,-,-,-
222,0.0006122201133988456,0.8633166623014278,0.011350631713867188,-,-,-,-
223,0.0006485079033630191,0.8620743176653122,0.011188507080078125,-,-,-,-
224,0.0005277806652146936,0.8787803452830557,0.011230230331420898,-,-,-,-
225,0.0003868967777336983,0.907343416764565,0.011089563369750977,-,-,-,-
226,0.0003590849222337421,0.9154315409495642,0.009414911270141602,-,-,-,-
227,0.0003876888968370955,0.9161564399602146,0.0085296630859375,-,-,-,-
228,0.001002006155427469,0.8703277704634086,0.011218786239624023,-,-,-,-
229,0.0015537815750674242,0.834463130853902,0.011217832565307617,-,-,-,-
230,0.001955492329001842,0.8320164334398795,0.01102304458618164,-,-,-,-
