Image Pair,SSIM,MSE,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
156,0.9890698959861977,1.952130017464642e-05,-,-,-,-
157,0.9905087923687516,1.5830226145864783e-05,-,-,-,-
158,0.9911128029958572,1.4684686730127274e-05,-,-,-,-
159,0.9931498715460143,9.332446484052187e-06,-,-,-,-
160,0.9908694341175052,1.394879194428191e-05,-,-,-,-
161,0.9906694462888522,1.5139874584871157e-05,-,-,-,-
162,0.9912482849478094,1.60612389287227e-05,-,-,-,-
163,0.9903338085560617,1.957661147274995e-05,-,-,-,-
164,0.9924782371411054,1.0769804095962708e-05,-,-,-,-
165,0.9910892038948451,1.7202138542233955e-05,-,-,-,-
166,0.9913575520837122,1.618712359206651e-05,-,-,-,-
167,0.9894913158248202,2.5975246163753008e-05,-,-,-,-
168,0.9909365324487563,1.869615046504564e-05,-,-,-,-
169,0.9916860199036452,1.4686274157610323e-05,-,-,-,-
170,0.993034029551027,1.0987019538127004e-05,-,-,-,-
171,0.9913234577809947,1.529066772190871e-05,-,-,-,-
172,0.9911712985007247,1.5345001938629866e-05,-,-,-,-
173,0.9919541517756045,1.4608252450517096e-05,-,-,-,-
174,0.991159388871326,1.783449263681368e-05,-,-,-,-
175,0.9925151571891564,1.2395317375107861e-05,-,-,-,-
176,0.9914944936448956,2.425254066074891e-05,-,-,-,-
177,0.992806747251427,1.9122277858045208e-05,-,-,-,-
178,0.9912591866020001,1.848247572253893e-05,-,-,-,-
179,0.9929722178521246,1.1533537492400969e-05,-,-,-,-
180,0.9936748301097448,1.2053682333622881e-05,-,-,-,-
181,0.9945987605427211,7.677384978132904e-06,-,-,-,-
182,0.9931854343701925,1.3460759135753272e-05,-,-,-,-
183,0.9930602550118848,1.0300819218218679e-05,-,-,-,-
184,0.9935138125532111,1.2822544034563066e-05,-,-,-,-
185,0.9932758522716907,1.2987256627540795e-05,-,-,-,-
186,0.9936900796832538,1.1014247608332008e-05,-,-,-,-
187,0.967791789625979,0.00013629195784932267,-,-,-,-
188,0.963085904983494,0.00021219951115648624,-,-,-,-
189,0.9650440690581851,0.00017232028456417797,-,-,-,-
190,0.9658195608301808,0.00018779263519182922,-,-,-,-
191,0.9688790171628456,0.00012974192062567672,-,-,-,-
192,0.9731858688471684,0.00011286200317070392,-,-,-,-
193,0.9702719988301732,0.00010108145982903272,-,-,-,-
194,0.9725811454106726,8.266186375350787e-05,-,-,-,-
195,0.9712845873096305,9.538587362946077e-05,-,-,-,-
196,0.9742379250647012,7.60635955870812e-05,-,-,-,-
197,0.9760362785440587,6.830232899371188e-05,-,-,-,-
198,0.9729264218022137,8.846562749546534e-05,-,-,-,-
199,0.9730666362654928,8.603047066164859e-05,-,-,-,-
200,0.9691510979970928,0.0001108554166374793,-,-,-,-
201,0.9654466824766075,0.00012159774802032584,-,-,-,-
202,0.9666321361790496,0.0001432649519667879,-,-,-,-
203,0.973411404895406,7.748703427793715e-05,-,-,-,-
204,0.9795539213751832,5.1119115201274094e-05,-,-,-,-
205,0.9795836353727112,7.316824480036486e-05,-,-,-,-
206,0.9777352360424176,6.6483042421654e-05,-,-,-,-
207,0.9757282735872983,7.558630746495064e-05,-,-,-,-
208,0.9762414132706213,7.988702436742613e-05,-,-,-,-
209,0.9767591219043469,6.413860620567367e-05,-,-,-,-
210,0.9752757057014267,7.922890719475818e-05,-,-,-,-
211,0.9729730921108204,8.037395909919607e-05,-,-,-,-
212,0.9729937650317069,7.422709324934308e-05,-,-,-,-
213,0.976082352951061,6.686899976733257e-05,-,-,-,-
214,0.9788383164418535,5.42673335978552e-05,-,-,-,-
215,0.9808297562535622,5.411177873673666e-05,-,-,-,-
216,0.9821691911456535,5.272936645283894e-05,-,-,-,-
217,0.9765606629835986,9.224510312951695e-05,-,-,-,-
218,0.9737530902077384,0.00012389542120013833,-,-,-,-
219,0.9758796779245816,0.00010766067885640553,-,-,-,-
220,0.9725250620036976,9.867877994548689e-05,-,-,-,-
221,0.9721142832340369,0.0001080533510963363,-,-,-,-
222,0.9722193325394127,0.00010333029075924363,-,-,-,-
223,0.9747471852924275,9.061678245949919e-05,-,-,-,-
224,0.9801355077804682,6.251333781724869e-05,-,-,-,-
225,0.9814276621400667,6.0782939993000296e-05,-,-,-,-
226,0.980813370347336,6.552712445613664e-05,-,-,-,-
227,0.9755606970032222,0.0001446891208436224,-,-,-,-
228,0.9713011209414454,0.00020226987724059967,-,-,-,-
229,0.9700364006282793,0.000258350269607329,-,-,-,-
230,0.9726263615225249,0.00020391492621410061,-,-,-,-
231,0.9761365388299809,0.00010674871636547981,-,-,-,-
232,0.9731086714788338,0.00010622710642298904,-,-,-,-
233,0.9714977246675272,0.00011244002681151914,-,-,-,-
234,0.9731747559184717,9.613092536974204e-05,-,-,-,-
235,0.9795105525148049,7.024920754624135e-05,-,-,-,-
236,0.9822281390865369,5.9505532971170703e-05,-,-,-,-
237,0.9823220659881752,6.437877592565162e-05,-,-,-,-
238,0.9747889518645559,0.00019902324603243119,-,-,-,-
239,0.9703508909454982,0.00025821656336671317,-,-,-,-
240,0.9688624905228694,0.0003227688474792326,-,-,-,-
241,0.9700654189807401,0.00027082775674723954,-,-,-,-
242,0.9752272601991558,0.00013077805779458605,-,-,-,-
243,0.9723351035678134,0.00016517415386501613,-,-,-,-
244,0.9698921540692542,0.0001483009534078053,-,-,-,-
245,0.9736874822430959,0.00011304026909378937,-,-,-,-
246,0.9796352456836896,8.512571222733338e-05,-,-,-,-
247,0.9820966835884065,6.574104224085482e-05,-,-,-,-
248,0.9814411852349019,7.862610195480086e-05,-,-,-,-
249,0.9776394739485075,0.00013688096759936245,-,-,-,-
250,0.9737216209867048,0.00019374548327146386,-,-,-,-
251,0.9738986678175534,0.00023852872300837792,-,-,-,-
252,0.974447585137557,0.00022956794947118423,-,-,-,-
253,0.9812874302072929,6.558463338903698e-05,-,-,-,-
254,0.979139107181439,9.72905066891194e-05,-,-,-,-
255,0.9774992103119686,7.262319217600432e-05,-,-,-,-
256,0.9780645169286433,7.566359652176738e-05,-,-,-,-
257,0.9817492632899444,5.5931797014439124e-05,-,-,-,-
258,0.9845114347050077,3.7393399373804866e-05,-,-,-,-
259,0.9837348413118356,4.777333878492857e-05,-,-,-,-
260,0.982436359567893,6.685080688464172e-05,-,-,-,-
261,0.980764166070811,0.00013856350260744695,-,-,-,-
262,0.9808977054102407,0.00017021882477910791,-,-,-,-
263,0.9811168392460943,0.00019625683054918218,-,-,-,-
264,0.9832578100729734,7.680535085353325e-05,-,-,-,-
265,0.9827460783348162,6.981025907942039e-05,-,-,-,-
266,0.9805909826144164,7.502171868783313e-05,-,-,-,-
267,0.9837971343185228,4.877907460842573e-05,-,-,-,-
268,0.9871419637850504,3.542564014587528e-05,-,-,-,-
269,0.988150064992732,2.7660221757962755e-05,-,-,-,-
270,0.9862339524990893,4.6948067298946586e-05,-,-,-,-
271,0.9850311542595663,9.484252953883026e-05,-,-,-,-
272,0.9660273148255863,0.0006331494595228005,-,-,-,-
273,0.9852758006798901,9.498794841900534e-05,-,-,-,-
274,0.9729007141215374,0.00043967418537708866,-,-,-,-
275,0.9835216594309018,6.836398880116147e-05,-,-,-,-
276,0.9832524113457685,7.169645595919005e-05,-,-,-,-
277,0.9812466470741854,7.707226064643134e-05,-,-,-,-
278,0.9843364949160217,5.0861484124505675e-05,-,-,-,-
279,0.9870245386611999,3.502161233557072e-05,-,-,-,-
280,0.987792530144431,3.056595012248612e-05,-,-,-,-
281,0.9874182488623275,3.148987857526285e-05,-,-,-,-
282,0.9851954324364742,5.768319510549217e-05,-,-,-,-
283,0.9834622742397753,9.317134961311246e-05,-,-,-,-
284,0.9767108992513328,0.0003327172831026416,-,-,-,-
285,0.9847011583448634,0.00010828558304767131,-,-,-,-
286,0.9864958624516237,4.934976801741459e-05,-,-,-,-
287,0.9851494002886048,7.930241282810699e-05,-,-,-,-
288,0.9828335166970957,9.458782840328734e-05,-,-,-,-
289,0.9857551495288162,4.247775295770804e-05,-,-,-,-
