Image Pair,Dice full,Dice no background,MSE,SSIM,Time,Mean Dice full, Mean Dice no background,Mean MSE,Mean SSIM,Mean Time,Mean NegJ
65,0.7944024458818919,0.5930026572187777,0.0011206347262457256,0.8161036345054525,0.002357006072998047,-,-,-,-,-,-
66,0.8390297337107488,0.7359828767671859,0.0016993839734040978,0.7651165340249487,0.002351999282836914,-,-,-,-,-,-
67,0.7891051006573253,0.6623899105895815,0.00177061454022874,0.744993647845049,0.0023431777954101562,-,-,-,-,-,-
68,0.7385794590614901,0.5823780264123257,0.0015632282021974789,0.7673112177514564,0.0023505687713623047,-,-,-,-,-,-
69,0.7840994875741987,0.6806919505397718,0.0015143942100252462,0.7498153105276676,0.002335786819458008,-,-,-,-,-,-
70,0.7882666250217664,0.6865333882833149,0.0006723678180965122,0.8560148394011315,0.0023670196533203125,-,-,-,-,-,-
71,0.7095377625655257,0.6814474619835735,0.0009027393227419218,0.8564666363188553,0.002343416213989258,-,-,-,-,-,-
72,0.9749834086483834,0.950381679389313,0.000798385058666342,0.8284115770672548,0.0023233890533447266,-,-,-,-,-,-
73,0.5906386339875128,0.43191425120772947,0.0010881581988845762,0.7702121839560765,0.002337932586669922,-,-,-,-,-,-
74,0.662816495175096,0.5276504630549002,0.00027849163454727493,0.9407938892216522,0.002333402633666992,-,-,-,-,-,-
75,0.6931169190459263,0.5468589297724229,0.0003696692043874207,0.9131886064043357,0.002340078353881836,-,-,-,-,-,-
76,0.7044645000379794,0.5773118435520297,0.0009651966069993237,0.7714979507102054,0.0023682117462158203,-,-,-,-,-,-
77,0.7230992678118984,0.6157153973928612,0.0010381843505613635,0.7553154906142436,0.0023381710052490234,-,-,-,-,-,-
78,0.6253124058539392,0.4909323325745613,0.0010173022205590542,0.7728837000841998,0.002346038818359375,-,-,-,-,-,-
79,0.61773270852467,0.5083428666044495,0.000776515927516637,0.8239430415543217,0.002349853515625,-,-,-,-,-,-
80,0.620707537707841,0.431794627389571,0.0008017137723551587,0.8256309495596547,0.002326488494873047,-,-,-,-,-,-
81,0.4939193820276754,0.5,0.0004961140868274679,0.9186298093877231,0.002366781234741211,-,-,-,-,-,-
82,0.3676175140248865,0.0055058499655884375,0.0011348479251690326,0.7736654593188712,0.00232696533203125,-,-,-,-,-,-
83,0.38586384655463113,0.015915119363395226,0.0004116594539547419,0.9174164880003656,0.0023336410522460938,-,-,-,-,-,-
84,0.4059965652215589,0.058930741190765495,0.00043031688198319213,0.9098864373063447,0.0023398399353027344,-,-,-,-,-,-
85,0.5434159277982693,0.3412514665914582,0.0009062405075294336,0.8007578238367054,0.002327442169189453,-,-,-,-,-,-
86,0.5526643705258816,0.34548465053283844,0.001067868856030698,0.7836688965557604,0.0023670196533203125,-,-,-,-,-,-
87,0.6680638343552842,0.5056844453732677,0.0007008204522279156,0.8407742403030174,0.0023484230041503906,-,-,-,-,-,-
88,0.6739191013733093,0.535083008761754,0.0002877176034157772,0.9428599896754537,0.0023336410522460938,-,-,-,-,-,-
89,0.7051164569999457,0.5478513356562137,0.00019833095552316068,0.9599598168398653,0.002374410629272461,-,-,-,-,-,-
90,0.6641744882303113,0.49321474808254806,0.0008972685049998901,0.8067484779508751,0.002362966537475586,-,-,-,-,-,-
91,0.6989040630292312,0.5545280309306821,0.00016539245979171332,0.9682384834278197,0.0023331642150878906,-,-,-,-,-,-
92,0.6232180273656722,0.4915351831683938,0.0007086449070753272,0.83757601111274,0.0023789405822753906,-,-,-,-,-,-
93,0.5617834579317077,0.32611038881665944,0.00023304122154898718,0.9664866476371174,0.0023343563079833984,-,-,-,-,-,-
94,0.6122378121491484,0.45232028251514605,0.0005140374844690757,0.876451064091148,0.0023431777954101562,-,-,-,-,-,-
95,0.571035161260925,0.3977403771232664,0.0007418639508571537,0.821689871525678,0.002345561981201172,-,-,-,-,-,-
96,0.24880069777583952,0.0,0.0007625356700102295,0.8212786804811483,0.0023353099822998047,-,-,-,-,-,-
