Image Pair,Dice full,Dice no background,SSIM,MSE,Mean Dice full, Mean Dice no background,Mean SSIM,Mean MSE
1,0.6739421793866631,0.5647382920110193,0.005619808339582222,0.8503301056687451,-,-,-,-
2,0.7194018116334964,0.6143365437942805,0.0047453151430187634,0.8694944726120941,-,-,-,-
3,0.83529328870814,0.7543541459019587,0.003342954678693317,0.8761991524752719,-,-,-,-
4,0.8222399951835438,0.7334791077615554,0.0017267765693182423,0.9131864866095861,-,-,-,-
5,0.7976977244329808,0.7067790024961547,0.0018853767179564775,0.918098736435226,-,-,-,-
6,0.7607456006127055,0.7096356043270668,0.002735143663955019,0.8987854296391752,-,-,-,-
7,0.7812050107963198,0.6996434484398626,0.0016449189886114468,0.9124552145374538,-,-,-,-
8,0.7193228606482844,0.6595630860775125,0.0023480642218715883,0.9101689858618993,-,-,-,-
9,0.8099192159320963,0.7323787553363561,0.0012815057348360553,0.9240620142204119,-,-,-,-
0,0.7723189014639484,0.7175571976694615,0.0014503087630030316,0.923745111735103,-,-,-,-
1,0.7206803531671897,0.6835604074852858,0.0014140434994622442,0.9333700968019509,-,-,-,-
2,0.34154783717329934,0.1856,0.0017540760389945951,0.9176204150839092,-,-,-,-
3,0.49924836542118706,0.0,0.0007673195540378571,0.9411715465556567,-,-,-,-
4,0.2475299059446626,0.0,0.0031588096138830016,0.8936886221579481,-,-,-,-
5,0.4538536703537013,0.11970458255025548,0.002811762301361615,0.9054645515250173,-,-,-,-
6,0.556363236563624,0.4236878816592967,0.002523796102204412,0.9110048443161617,-,-,-,-
7,0.7716629931031298,0.6591392950966547,0.0026268340734450844,0.9164705490943582,-,-,-,-
8,0.7635945032944275,0.645729317908607,0.00722782095230463,0.8961379351063312,-,-,-,-
9,0.7637911722106228,0.6423005652428945,0.002739562417811739,0.9219448373845978,-,-,-,-
0,0.7131736626206956,0.5615733005042876,0.0026884286117646173,0.9243850542612867,-,-,-,-
1,0.4892758441904208,0.40575452052535,0.0024193551184750334,0.9348842111722961,-,-,-,-
2,0.4317933631369235,0.366409717818643,0.0018373673885382514,0.9445382861022112,-,-,-,-
3,0.5117292127555777,0.02733485193621868,0.0015099498480907318,0.9505809718969306,-,-,-,-
4,0.6483886463461254,0.4225605286252646,0.0013963629509431185,0.9342511994758104,-,-,-,-
5,0.7507120825521183,0.6161447682274772,0.0011459942720179455,0.9445698208868833,-,-,-,-
