Image Pair,Dice full,Dice no background,MSE,SSIM,Time,Mean Dice full, Mean Dice no background,Mean MSE,Mean SSIM,Mean Time,Mean NegJ
107,0.5793876857299749,0.41508275191138116,0.0008008122731152747,0.9220898304099173,0.002590656280517578,-,-,-,-,-,-
108,0.7110619841414867,0.6012690144711057,0.000989019554200746,0.9181701767541512,0.002546072006225586,-,-,-,-,-,-
109,0.3137085960456372,0.13263358778625955,0.0009498558295328012,0.9211050814171144,0.0025773048400878906,-,-,-,-,-,-
110,0.8310403073768458,0.7304222001600871,0.0005450056060639244,0.9376667395008681,0.002970457077026367,-,-,-,-,-,-
111,0.7659395468260084,0.6145013261886758,0.0038987199928754274,0.8467203563214087,0.002510547637939453,-,-,-,-,-,-
112,0.7873887875108097,0.6452596618357488,0.000682495739141304,0.9373030048867111,0.014628410339355469,-,-,-,-,-,-
113,0.814247767500005,0.6803462787374253,0.0008265084426753484,0.936366695947445,0.002691984176635742,-,-,-,-,-,-
114,0.7595103449066989,0.6003281960306021,0.0008088763638768507,0.9337284053869546,0.00980687141418457,-,-,-,-,-,-
115,0.7041039248561777,0.5202741502269148,0.0007797912317411253,0.9439888094589857,0.006239891052246094,-,-,-,-,-,-
116,0.6949668716910478,0.5042728617503698,0.001456713943619979,0.9238539775190399,0.006380558013916016,-,-,-,-,-,-
117,0.5837316446926295,0.668770084721005,0.0006387264682980744,0.9592569186189878,0.006549835205078125,-,-,-,-,-,-
118,0.38883612849033455,0.06318681318681318,0.00507408070665306,0.8000624648156116,0.0027353763580322266,-,-,-,-,-,-
119,0.4245925222375945,0.12215568862275449,0.002348284494336366,0.8814372639623044,0.002800464630126953,-,-,-,-,-,-
120,0.5706267712863557,0.4385558906466048,0.002022539353590205,0.8794613695995713,0.0026540756225585938,-,-,-,-,-,-
121,0.5864733002767855,0.46643376011034093,0.0016358833486599669,0.8951356354189111,0.0027582645416259766,-,-,-,-,-,-
122,0.6254460799524999,0.531259689729751,0.0014519962929461052,0.8915606970738548,0.0026350021362304688,-,-,-,-,-,-
123,0.642100785811845,0.542393504396661,0.0006620118412837196,0.9206217965291081,0.005849123001098633,-,-,-,-,-,-
124,0.6295394111911341,0.5099056361864711,0.0005923969320751608,0.9270098457180851,0.004566669464111328,-,-,-,-,-,-
125,0.6092912425336581,0.530182405964002,0.0006727853936606208,0.9263717990427323,0.011171579360961914,-,-,-,-,-,-
126,0.6021474778102417,0.49194637843741285,0.0007712976463906394,0.919821898503132,0.007469654083251953,-,-,-,-,-,-
127,0.5463447495250502,0.43141828728346576,0.0006462728510663601,0.9257840387357643,0.012830734252929688,-,-,-,-,-,-
128,0.5225578173564948,0.3970158048774817,0.0006638801147988504,0.9260686216611416,0.013982295989990234,-,-,-,-,-,-
129,0.5280647595905605,0.449334900686435,0.0005109038336508604,0.9345074431073985,0.019330978393554688,-,-,-,-,-,-
130,0.506637299452293,0.41519974278594973,0.0005962924871488669,0.9388589734799406,0.0027647018432617188,-,-,-,-,-,-
131,0.32032088024081334,0.14638783269961977,0.0006208295127903764,0.9366072679996668,0.002764463424682617,-,-,-,-,-,-
132,0.4979480660976938,0.0,0.0005608089389868867,0.9433878674328615,0.0028145313262939453,-,-,-,-,-,-
133,0.32949799086590936,0.0,0.0013236997914623423,0.9137061466503174,0.014772653579711914,-,-,-,-,-,-
134,0.38485962786668476,0.046804680468046804,0.001036058422954805,0.92351798444191,0.018513202667236328,-,-,-,-,-,-
135,0.4696536713050744,0.307740089930012,0.0011392015572501374,0.9274400568319684,0.009170293807983398,-,-,-,-,-,-
136,0.525709614397998,0.40103222345824513,0.0013300557426461526,0.9298786673881313,0.005439281463623047,-,-,-,-,-,-
137,0.48207789969353654,0.30541179188498774,0.003904830066968566,0.8718311240431099,0.0027968883514404297,-,-,-,-,-,-
138,0.471591328780747,0.3192843479217711,0.0012380102721312838,0.9202362606977325,0.002735614776611328,-,-,-,-,-,-
