Image Pair,SSIM,MSE,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
98,0.976747025433189,8.552791964471769e-05,-,-,-,-
99,0.9783031957256184,8.090591111870328e-05,-,-,-,-
100,0.9765879292529658,0.00010107255972871307,-,-,-,-
101,0.9767887604053136,9.156310340359644e-05,-,-,-,-
102,0.9758566602208346,0.0001008327901354699,-,-,-,-
103,0.9782593204958637,6.55923146944188e-05,-,-,-,-
104,0.9821243879797136,5.417208952522794e-05,-,-,-,-
105,0.9806538190378737,5.456557241099382e-05,-,-,-,-
106,0.9791542637430632,6.675308723340566e-05,-,-,-,-
107,0.9799915006976472,6.249585603653162e-05,-,-,-,-
108,0.9798551171328099,5.4561023528263425e-05,-,-,-,-
109,0.9816124128789927,4.91996477075282e-05,-,-,-,-
110,0.983924275274451,4.6762958722883976e-05,-,-,-,-
111,0.9823973026055357,5.646375407925823e-05,-,-,-,-
112,0.9815160586566557,5.8425215812884996e-05,-,-,-,-
113,0.9830978784233685,4.781456483218445e-05,-,-,-,-
114,0.9835918851518054,4.707471881378768e-05,-,-,-,-
115,0.985630948249766,4.012851456197681e-05,-,-,-,-
116,0.9826295756542164,5.172455086926691e-05,-,-,-,-
117,0.9823981984298926,5.833658826452008e-05,-,-,-,-
118,0.9805023643434518,7.568578778272442e-05,-,-,-,-
119,0.9834459689096972,5.11282354528633e-05,-,-,-,-
120,0.985491566896203,4.04152388411156e-05,-,-,-,-
121,0.9825046864750357,5.4836222445484634e-05,-,-,-,-
122,0.9826610053568018,5.852390456440343e-05,-,-,-,-
123,0.9807430121634788,6.186171445363175e-05,-,-,-,-
124,0.9821568488045173,5.231125095470547e-05,-,-,-,-
125,0.9845344598837521,4.2419312593526674e-05,-,-,-,-
126,0.9873115352425179,3.123709674638116e-05,-,-,-,-
127,0.9823775397021427,5.3640527187911925e-05,-,-,-,-
128,0.9819760535541966,5.430325896855824e-05,-,-,-,-
129,0.9823965636434657,6.037528636096347e-05,-,-,-,-
130,0.9824688061004607,6.381383045869264e-05,-,-,-,-
131,0.9836684758076555,4.825042947011972e-05,-,-,-,-
132,0.9894035491981054,2.8810307932707663e-05,-,-,-,-
133,0.9884881631256093,2.9564047211796518e-05,-,-,-,-
134,0.9871248338505213,3.2608150603529725e-05,-,-,-,-
135,0.9884700050848746,2.996593760330559e-05,-,-,-,-
136,0.9891865226082179,2.8240620398958207e-05,-,-,-,-
137,0.9915073531602211,1.701898998390375e-05,-,-,-,-
138,0.9879989807360728,3.142679820431887e-05,-,-,-,-
139,0.9885259367364198,2.790701976750383e-05,-,-,-,-
140,0.9882012212542972,3.6059520684814914e-05,-,-,-,-
141,0.9883971895907707,3.346747352355867e-05,-,-,-,-
142,0.9905354325040998,2.1943617104474522e-05,-,-,-,-
143,0.9912214093347312,1.7417632500033288e-05,-,-,-,-
144,0.9917336592151242,1.5608037026991465e-05,-,-,-,-
145,0.989793595589668,2.185573246738969e-05,-,-,-,-
146,0.9894061880450946,3.4852016212738425e-05,-,-,-,-
147,0.9911945012190596,2.2960198954189844e-05,-,-,-,-
148,0.993047178225555,1.250043838576756e-05,-,-,-,-
149,0.990510638864144,2.06961556480077e-05,-,-,-,-
150,0.9917550228659815,1.712954475562184e-05,-,-,-,-
151,0.9913899419206404,1.851309263055531e-05,-,-,-,-
152,0.9913968770904503,1.817250321964268e-05,-,-,-,-
153,0.9925782518212503,1.3825373034784906e-05,-,-,-,-
154,0.9932505027479805,1.0819178287463883e-05,-,-,-,-
155,0.9937756287203476,9.350043148614246e-06,-,-,-,-
156,0.9924172836678773,1.221849901862254e-05,-,-,-,-
157,0.9933121447812898,1.0211378855389134e-05,-,-,-,-
158,0.9936312245662976,9.952232587786395e-06,-,-,-,-
