Image Pair,Dice,SSIM,MSE,Mean Dice,Mean SSIM,Mean MSE
3,0.48950875609186506,0.00401740972510198,0.7567660011073696,-,-,-
4,0.45711184427306784,0.0014672809252663055,0.8633558766607639,-,-,-
5,0.4442633224344906,0.00242310084742515,0.8164080727918458,-,-,-
6,0.4959804754067613,0.0028195370262366856,0.7811859226466882,-,-,-
7,0.39255567218805026,0.002768473265724739,0.790330692755177,-,-,-
8,0.4843332066513147,0.001522174985851616,0.8495327616493984,-,-,-
9,0.5456932534430844,0.0022322507697989454,0.8156819608163063,-,-,-
0,0.4827068287198517,0.0038769107472973663,0.7921206924645442,-,-,-
1,0.5308203248545563,0.0029713592933243733,0.7907828606615689,-,-,-
2,0.4612003638907745,0.00226630243353776,0.8065372212267703,-,-,-
3,0.44657702696167073,0.0033619440963214295,0.8092378187374158,-,-,-
4,0.5157181810474551,0.001746744386088122,0.8338582573147421,-,-,-
5,0.5027946291058792,0.002655838879888974,0.7974122228255139,-,-,-
6,0.46239260607298716,0.00209058204456293,0.8212703111059139,-,-,-
7,0.41322651033532903,0.0026737592773068285,0.8124883924334122,-,-,-
8,0.4265620191724715,0.004856360141910011,0.7498767015083575,-,-,-
9,0.41847103491228543,0.0034050843733256725,0.784172484017281,-,-,-
0,0.4601571719259257,0.0032223211642169176,0.7883669660914638,-,-,-
1,0.4250952264711882,0.0037838627130047306,0.7922796985898282,-,-,-
2,0.3075708575217578,0.007238758631607504,0.7371274068125343,-,-,-
3,0.5166611143237642,0.0019250943735009852,0.837860968431129,-,-,-
4,0.46392420380645855,0.0027864110748218843,0.8259456761806678,-,-,-
5,0.41743583089563147,0.0036278088416666493,0.814284604127325,-,-,-
6,0.5317603246404418,0.0020143153730225803,0.8119216653033953,-,-,-
7,0.4439095996917982,0.0018744287136357523,0.8304384818061833,-,-,-
8,0.4306462708456939,0.002054501826493371,0.8016988976461572,-,-,-
9,0.4968924441040715,0.0019750996647964147,0.8265833680937034,-,-,-
0,0.4366956892732051,0.001768766991107059,0.8459134988361547,-,-,-
1,0.5178296657823601,0.002751787816844768,0.8056585876020954,-,-,-
2,0.48300518301504614,0.0026401134370969115,0.7954776328968606,-,-,-
3,0.43213856500498327,0.00329871953392781,0.786765148512474,-,-,-
4,0.3589863574595718,0.004392829693204392,0.7714665603499449,-,-,-
5,0.5151146101325781,0.0022203920417620373,0.8223575548098234,-,-,-
6,0.49347575142232836,0.002927669177268047,0.8243277200831091,-,-,-
7,0.4662294624746057,0.0024321905546430683,0.8372734592908814,-,-,-
