Image Pair,Dice,SSIM,MSE,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
131,0.0027775056028430593,0.7470542773812007,0.02270793914794922,-,-,-,-
132,0.0021389325540018453,0.7626962538189515,0.017191171646118164,-,-,-,-
133,0.0021052731262969954,0.7738369209678445,0.022542476654052734,-,-,-,-
134,0.002375598360024907,0.7620171560631064,0.021024227142333984,-,-,-,-
135,0.002146934281724633,0.7827424290445044,0.023326635360717773,-,-,-,-
136,0.0023429136052774526,0.7628848982943484,0.01853466033935547,-,-,-,-
137,0.0021122621058453934,0.7873561589401278,0.02162909507751465,-,-,-,-
138,0.002434313271700243,0.7584123988642569,0.02633190155029297,-,-,-,-
139,0.0025367733778542956,0.7299619635811594,0.02021646499633789,-,-,-,-
140,0.0018636437967607833,0.770440791246546,0.019314289093017578,-,-,-,-
141,0.002034142626610939,0.7574086265269276,0.022727012634277344,-,-,-,-
142,0.001908173454982472,0.7715715852488021,0.024426698684692383,-,-,-,-
143,0.0016938553173544571,0.7836973610753402,0.01928997039794922,-,-,-,-
144,0.002275547202216484,0.7680849673415767,0.01827216148376465,-,-,-,-
145,0.0029089754980401966,0.7588564604579284,0.031014204025268555,-,-,-,-
146,0.002870459158564209,0.7589638196001989,0.018793821334838867,-,-,-,-
147,0.00333144873165363,0.7067866783777473,0.019909381866455078,-,-,-,-
148,0.004345251096037413,0.68802342955783,0.024746417999267578,-,-,-,-
149,0.004209104997369373,0.7105279242287934,0.0235595703125,-,-,-,-
150,0.0025640240106396205,0.7568708206009901,0.023944616317749023,-,-,-,-
151,0.003257087775408903,0.721602068934145,0.021053791046142578,-,-,-,-
152,0.0037445976086818433,0.674559729809743,0.0206911563873291,-,-,-,-
153,0.0019443809622231357,0.7794233363327302,0.03071904182434082,-,-,-,-
154,0.001978663151550286,0.7752811548378655,0.018435001373291016,-,-,-,-
155,0.0022805752954784706,0.7638185588921587,0.032321929931640625,-,-,-,-
156,0.0022077987979475465,0.7590300252419389,0.015886306762695312,-,-,-,-
157,0.002356713890326745,0.7614382730788093,0.01625657081604004,-,-,-,-
158,0.0017328742562413642,0.7933280887804095,0.018991470336914062,-,-,-,-
159,0.002267642082180643,0.7339448437297266,0.01947307586669922,-,-,-,-
160,0.002690853238574557,0.7386526476042482,0.025907516479492188,-,-,-,-
161,0.002136116156757654,0.7662168763334446,0.020835399627685547,-,-,-,-
162,0.002760331230876941,0.7483916458382123,0.024356842041015625,-,-,-,-
163,0.002505692047525206,0.7499597367559138,0.023709535598754883,-,-,-,-
164,0.001747128606255899,0.8020831972514669,0.02093791961669922,-,-,-,-
165,0.0019664518158389655,0.7705420287556559,0.02634143829345703,-,-,-,-
166,0.0028253738182228835,0.7340650701910518,0.02627086639404297,-,-,-,-
167,0.0030888472245923283,0.7431124683241261,0.017799854278564453,-,-,-,-
168,0.0028502140361608736,0.7576197574601863,0.020261049270629883,-,-,-,-
169,0.002868146340215224,0.7509170838692588,0.023042917251586914,-,-,-,-
170,0.002772526061994718,0.7438304827540837,0.01788783073425293,-,-,-,-
171,0.0027508421724131557,0.7428336274561022,0.02648758888244629,-,-,-,-
172,0.0028501874500521515,0.7138888814983915,0.03116607666015625,-,-,-,-
173,0.002838475762347651,0.7610738977386307,0.03148388862609863,-,-,-,-
174,0.0028868700938629627,0.7457356476710352,0.029644489288330078,-,-,-,-
175,0.0021841875836840904,0.771277493414977,0.029668807983398438,-,-,-,-
176,0.0023371791433340525,0.7676268878451856,0.023590087890625,-,-,-,-
177,0.002108229721201423,0.7649894303764748,0.020272254943847656,-,-,-,-
178,0.002300331825521873,0.7450760608933658,0.0295560359954834,-,-,-,-
179,0.0018481759657888118,0.7870471813404989,0.01703190803527832,-,-,-,-
180,0.0015822085483115109,0.8005566821581975,0.03249716758728027,-,-,-,-
181,0.002049986885771382,0.7629109773976476,0.023711681365966797,-,-,-,-
182,0.0031327976760085956,0.7359127488115393,0.020889997482299805,-,-,-,-
183,0.0025910183260002386,0.7684504639662632,0.019123554229736328,-,-,-,-
184,0.002805599245274711,0.7387360968634172,0.018939733505249023,-,-,-,-
185,0.002484348608492818,0.7450911221178955,0.02767205238342285,-,-,-,-
186,0.0021205897570687545,0.7692756067956011,0.02068042755126953,-,-,-,-
187,0.0027695524488805154,0.7628430140182614,0.018874168395996094,-,-,-,-
188,0.0021755981627444854,0.7872913366777599,0.02205204963684082,-,-,-,-
189,0.002510807795265772,0.783718009729782,0.024497270584106445,-,-,-,-
190,0.0024916544951639826,0.7519722006485164,0.023142337799072266,-,-,-,-
191,0.002362461885655461,0.7488465342423283,0.027956485748291016,-,-,-,-
192,0.002484526825204725,0.7375875867385222,0.020405292510986328,-,-,-,-
193,0.0034395372007472486,0.7181018225413167,0.022902488708496094,-,-,-,-
194,0.0027727097533353745,0.7467180886700907,0.020290851593017578,-,-,-,-
195,0.0025899094519976035,0.7443626055534583,0.020844697952270508,-,-,-,-
196,0.0027887823124437125,0.7349572401634767,0.024860858917236328,-,-,-,-
197,0.002174043235046656,0.76566885987049,0.025237560272216797,-,-,-,-
198,0.0024935508034222547,0.75850842997776,0.028367280960083008,-,-,-,-
199,0.0025035970090533746,0.7571357773187893,0.0229032039642334,-,-,-,-
200,0.002647884975231681,0.7455576840986957,0.02283453941345215,-,-,-,-
201,0.002420947006789061,0.7412661906685615,0.016657590866088867,-,-,-,-
202,0.0027822824041578544,0.7507334585634086,0.016391754150390625,-,-,-,-
203,0.0023580420163292833,0.7493373486869764,0.02210521697998047,-,-,-,-
204,0.0023282427683633125,0.7370160923532663,0.026369333267211914,-,-,-,-
205,0.002077384716234694,0.7873031504480714,0.026874780654907227,-,-,-,-
206,0.0028874583267028816,0.7403457202584248,0.025258541107177734,-,-,-,-
207,0.0027587548137910645,0.7352621031428904,0.025117158889770508,-,-,-,-
208,0.002198562097632421,0.7864330672190714,0.018734216690063477,-,-,-,-
209,0.002574859164266859,0.7316173334885835,0.024774789810180664,-,-,-,-
210,0.003003316196186449,0.712540994347442,0.016817569732666016,-,-,-,-
211,0.0022703478623466705,0.7542116872005646,0.023706912994384766,-,-,-,-
212,0.0026719437173362928,0.7633326097867522,0.021004199981689453,-,-,-,-
213,0.0028688351774979045,0.7574122469283913,0.02778458595275879,-,-,-,-
214,0.0026947940360685743,0.7543720155408151,0.01670241355895996,-,-,-,-
215,0.0027591347822339073,0.7396133601247071,0.02251911163330078,-,-,-,-
216,0.002282992758591185,0.7656432421698549,0.023645877838134766,-,-,-,-
217,0.002453264317445658,0.7616616441057539,0.023360729217529297,-,-,-,-
218,0.0028921595352098704,0.7534591224004289,0.023729324340820312,-,-,-,-
219,0.0025415021238006357,0.757450400766856,0.02053546905517578,-,-,-,-
220,0.0022649883528770803,0.7723450280562241,0.020357131958007812,-,-,-,-
221,0.0023582993278061792,0.772895685394146,0.03241229057312012,-,-,-,-
222,0.0022940546921700407,0.7709699861752503,0.025012731552124023,-,-,-,-
223,0.0024628194286325567,0.7601958665078309,0.021000385284423828,-,-,-,-
224,0.0029766477704398515,0.7485361882899463,0.021312475204467773,-,-,-,-
