Image Pair,Dice,SSIM,MSE,Mean Dice,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
62,0.649060553368541,0.002781540518032936,0.765399611665362,-,-,-,-,-
63,0.6020328477891947,0.0028036213553740198,0.7541006062670492,-,-,-,-,-
64,0.6707823040179596,0.002597016617217622,0.7434641308917389,-,-,-,-,-
65,0.6565519345863674,0.0023108896615946506,0.7411971155695783,-,-,-,-,-
66,0.5770454052908076,0.00214727220617353,0.7693669717959374,-,-,-,-,-
67,0.5988858193686606,0.002451862602752127,0.7664161067803582,-,-,-,-,-
68,0.6645631146854234,0.002209551417400313,0.7661271942076461,-,-,-,-,-
69,0.5482810289716845,0.0022269040554452483,0.7679171367645269,-,-,-,-,-
70,0.5701286410644588,0.002584451859900542,0.7652990328657221,-,-,-,-,-
71,0.5657041610258983,0.0035010044388849694,0.7131900595088931,-,-,-,-,-
72,0.5535672356914927,0.0028688697119399363,0.7349085369922461,-,-,-,-,-
73,0.689685946448201,0.0018690743838886803,0.7930373018998241,-,-,-,-,-
74,0.663881823477332,0.0025207353167726156,0.7707157778483,-,-,-,-,-
75,0.6712763409650835,0.002502721934397319,0.7538570797402325,-,-,-,-,-
76,0.6963692876821694,0.0021821190662853597,0.7589574555942548,-,-,-,-,-
77,0.65916262724492,0.0018111874945903495,0.7766460280851502,-,-,-,-,-
78,0.6040661878211389,0.002828675347769168,0.73339501036114,-,-,-,-,-
79,0.6634596285072235,0.002234603398958986,0.7788065143363753,-,-,-,-,-
80,0.6178232099283962,0.0022999393529935593,0.7528402942666637,-,-,-,-,-
81,0.6207830559401522,0.00266882693927896,0.7474088343250033,-,-,-,-,-
82,0.641667816333266,0.0021253685734337205,0.7895048884075753,-,-,-,-,-
83,0.6271611973699222,0.001954702048266614,0.7735856389655431,-,-,-,-,-
84,0.6591690028521108,0.0023385087595707787,0.7566883627927377,-,-,-,-,-
85,0.6363974016033016,0.0025382721862618734,0.7467068103354153,-,-,-,-,-
86,0.5041873862492597,0.0025484380471008095,0.755896625663405,-,-,-,-,-
87,0.6463649366092392,0.002448079505800334,0.7597329947086777,-,-,-,-,-
88,0.5554715649196772,0.0028980126680317277,0.7525659334518562,-,-,-,-,-
89,0.6478073254161414,0.003124707343417891,0.7404669577953842,-,-,-,-,-
90,0.5811100679145773,0.0032980591510503626,0.7483072333710549,-,-,-,-,-
91,0.5126831811697367,0.002605493424191607,0.7548786274920405,-,-,-,-,-
92,0.6861919049725158,0.002415436280258672,0.7678998078835398,-,-,-,-,-
93,0.6844571622247968,0.002292211960828657,0.7772845469245053,-,-,-,-,-
94,0.6516518105419952,0.002480940447781303,0.7734790930387775,-,-,-,-,-
95,0.6396401712712356,0.0022793863691290403,0.7702839548320005,-,-,-,-,-
96,0.6762581622664869,0.0018985897902020691,0.7753862564737164,-,-,-,-,-
97,0.7099321160458804,0.002398585308795494,0.7397695214194315,-,-,-,-,-
98,0.7380728086104563,0.0019809714615513247,0.7735204866340166,-,-,-,-,-
99,0.6610678278732508,0.0020656018762167014,0.7631666736162911,-,-,-,-,-
100,0.6267897983250831,0.002334416263012488,0.745261660742257,-,-,-,-,-
101,0.5729442964063531,0.0031812766266272755,0.7321512133331145,-,-,-,-,-
102,0.5846708157061633,0.003196380499586245,0.7277819038622577,-,-,-,-,-
103,0.5213543002408344,0.0027536590934534645,0.7322163640514674,-,-,-,-,-
104,0.6059117148922966,0.0027250938780404967,0.7574955756081899,-,-,-,-,-
105,0.5287500381164033,0.002793667283784214,0.7573401323113421,-,-,-,-,-
106,0.5163602541529222,0.0024141412358064922,0.7760193872614934,-,-,-,-,-
107,0.540875346305511,0.002211866746930369,0.7691425850485211,-,-,-,-,-
108,0.6740126696094512,0.0026302850726316034,0.7550726599315302,-,-,-,-,-
109,0.6143041606251071,0.002597464175895799,0.7300669544583898,-,-,-,-,-
110,0.7129438483853271,0.002192766017901941,0.7614780266038123,-,-,-,-,-
111,0.69262870614793,0.0029462597771915473,0.7378802561350801,-,-,-,-,-
112,0.635236675976573,0.003331725582274044,0.7273923592163221,-,-,-,-,-
113,0.607701104688136,0.003191945621170156,0.7382030913987464,-,-,-,-,-
114,0.6227416799438833,0.0024633660904110973,0.7339499965062302,-,-,-,-,-
115,0.7254265138717993,0.0019015638959662814,0.77760653976944,-,-,-,-,-
116,0.6882044618234672,0.0023067891695962572,0.747782363144671,-,-,-,-,-
117,0.7036927458389264,0.0022711523208457742,0.7433568840337849,-,-,-,-,-
118,0.646513538253772,0.0022485443727597717,0.769697836280424,-,-,-,-,-
119,0.6344640732235585,0.0023560085270863357,0.7560129227391736,-,-,-,-,-
